date,product_id,price,units_sold,holiday,competitor_price,promotion,stock_level,store_location,season
23-01-2024,1001,38.21778,29,1,43.58324,0,204,Phoenix,Summer
24-01-2024,1001,39.90842,60,0,36.35046,0,364,Phoenix,Spring
25-01-2024,1001,38.29,22,0,34.4085,1,161,Phoenix,Fall
26-01-2024,1001,39.80094,25,0,41.77846,1,389,Phoenix,Summer
27-01-2024,1001,38.79784,49,0,35.26466,1,65,Phoenix,Winter
28-01-2024,1001,37.34884,89,0,38.95734,0,126,Phoenix,Winter
29-01-2024,1001,38.69565,84,0,35.81082,1,403,Phoenix,Fall
30-01-2024,1001,37.47018,29,0,41.19121,0,132,Phoenix,Winter
31-01-2024,1002,11.32981,55,0,13.71657,1,268,New York,Summer
01-02-2024,1002,14.85516,78,0,11.62956,0,127,New York,Winter
02-02-2024,1002,14.60725,55,0,14.92103,1,57,New York,Winter
03-02-2024,1002,13.04425,88,0,8.314032,0,107,New York,Summer
01-08-2024,1002,12.26831,70,0,13.4042,1,393,New York,Spring
02-08-2024,1002,11.34915,66,0,17.79579,1,470,New York,Spring
03-08-2024,1002,14.23303,47,0,9.244354,0,314,New York,Winter
04-08-2024,1002,12.90145,58,0,10.67156,0,327,New York,Spring
05-08-2024,1002,12.4869,84,1,12.2158,0,229,New York,Winter
06-08-2024,1002,13.56353,56,0,11.93036,0,455,New York,Fall
01-09-2024,1002,12.1366,44,0,17.37167,0,263,Los Angeles,Fall
02-09-2024,1002,12.07466,52,0,16.98867,1,95,Los Angeles,Winter
03-09-2024,1002,12.47471,98,1,13.11923,0,499,Los Angeles,Winter
04-09-2024,1002,14.92224,56,1,10.63852,0,284,Los Angeles,Spring
05-09-2024,1002,13.66814,21,0,14.28369,1,328,Los Angeles,Summer
06-09-2024,1002,11.49138,36,0,8.324388,0,348,Los Angeles,Fall
01-12-2024,1002,14.41139,39,0,11.40482,1,485,Los Angeles,Fall
02-12-2024,1002,12.93001,13,1,11.27126,1,324,Los Angeles,Winter
03-12-2024,1002,13.85389,76,0,10.119,1,416,Los Angeles,Summer
04-12-2024,1002,13.73933,21,0,17.44272,0,152,Los Angeles,Winter
05-12-2024,1002,11.89336,78,0,17.17715,1,308,Chicago,Fall
06-12-2024,1002,11.66203,17,0,8.333665,0,450,Chicago,Summer
01-08-2024,1002,15.14066,66,1,11.39751,0,422,Chicago,Spring
02-08-2024,1002,14.48053,15,0,12.57472,0,126,Chicago,Winter
03-08-2024,1002,13.1182,36,0,15.17542,0,461,Chicago,Summer
04-08-2024,1002,12.10324,40,0,16.61808,0,255,Chicago,Summer
05-08-2024,1002,14.31038,15,1,11.66627,1,144,Chicago,Summer
06-08-2024,1002,15.15422,68,0,14.77991,0,72,Chicago,Fall
07-08-2024,1002,15.01703,15,0,13.2444,1,187,Chicago,Spring
08-08-2024,1002,13.8543,10,0,14.01172,0,218,Chicago,Spring
09-08-2024,1002,11.78083,47,1,13.69518,0,391,Houston,Summer
10-08-2024,1002,13.95334,69,0,9.614718,0,409,Houston,Spring
11-08-2024,1002,12.64791,38,0,10.36611,0,421,Houston,Winter
12-08-2024,1002,13.37075,65,0,12.73007,0,267,Houston,Summer
13-08-2024,1002,13.36739,74,0,8.846405,0,240,Houston,Spring
14-08-2024,1002,13.68161,39,0,8.494294,0,362,Houston,Spring
15-08-2024,1002,14.30459,68,1,8.93971,0,401,Houston,Summer
16-08-2024,1002,12.66764,24,0,17.64413,0,385,Houston,Winter
17-08-2024,1002,14.32369,78,0,15.95281,1,458,Houston,Winter
18-08-2024,1002,14.11355,79,1,17.64627,0,196,Houston,Summer
19-08-2024,1002,12.74596,51,0,9.261747,0,164,Phoenix,Summer
20-08-2024,1002,13.94941,26,1,9.215562,0,312,Phoenix,Winter
21-08-2024,1002,11.48125,57,0,12.53135,0,291,Phoenix,Winter
22-08-2024,1002,11.75422,35,0,13.65194,0,435,Phoenix,Summer
23-08-2024,1002,14.23738,69,1,12.87283,1,361,Phoenix,Fall
24-08-2024,1002,14.63399,92,0,8.710136,0,489,Phoenix,Summer
25-08-2024,1002,13.9542,18,1,15.91535,0,247,Phoenix,Spring
26-08-2024,1002,12.49089,16,0,17.04098,0,456,Phoenix,Fall
27-08-2024,1002,15.09536,82,0,12.9722,0,390,Phoenix,Spring
28-08-2024,1002,11.94897,49,0,9.720692,0,480,Phoenix,Summer
29-08-2024,1003,40.66131,16,0,36.6509,0,164,New York,Fall
30-08-2024,1003,39.76205,68,0,41.49883,1,315,New York,Summer
31-08-2024,1003,40.92044,53,0,41.98853,0,111,New York,Fall
01-09-2024,1003,41.47254,70,0,38.8489,1,136,New York,Summer
02-09-2024,1003,41.87795,81,0,43.01888,0,468,New York,Fall
03-09-2024,1003,39.89074,34,0,42.98479,0,146,New York,Spring
04-09-2024,1003,40.8838,51,0,38.88528,0,447,New York,Winter
05-09-2024,1003,42.19845,64,0,40.02299,1,433,New York,Summer
06-09-2024,1003,42.10072,26,0,45.82451,0,367,New York,Spring
07-09-2024,1003,41.97691,29,1,41.51284,0,410,New York,Fall
08-09-2024,1003,43.16764,26,0,42.42991,0,217,Los Angeles,Fall
09-09-2024,1003,39.84016,35,0,43.08857,1,386,Los Angeles,Fall
10-09-2024,1003,42.47699,17,0,46.17235,1,271,Los Angeles,Spring
11-09-2024,1003,39.92931,73,1,36.78965,0,119,Los Angeles,Fall
12-09-2024,1003,43.38769,99,1,41.04924,0,176,Los Angeles,Spring
13-09-2024,1003,41.43662,90,1,42.28024,0,265,Los Angeles,Spring
01-01-2024,1003,41.9228,27,0,37.07656,1,401,Los Angeles,Summer
02-01-2024,1003,42.01069,60,0,37.5702,0,238,Los Angeles,Fall
03-01-2024,1003,42.47147,40,0,44.09986,0,292,Los Angeles,Winter
04-01-2024,1003,42.93563,85,0,37.33935,1,497,Los Angeles,Fall
05-01-2024,1003,42.89887,63,0,40.83483,0,83,Chicago,Summer
01-02-2024,1003,40.89103,28,0,43.69772,0,245,Chicago,Summer
02-02-2024,1003,40.37622,67,0,40.42281,0,92,Chicago,Winter
03-02-2024,1003,40.48996,14,0,37.16281,1,219,Chicago,Fall
04-02-2024,1003,43.12482,58,0,39.37664,0,56,Chicago,Winter
05-02-2024,1003,40.15104,50,0,42.95859,0,455,Chicago,Spring
01-01-2024,1003,41.91279,38,0,42.22461,0,136,Chicago,Spring
02-01-2024,1003,41.7068,91,0,37.78681,0,277,Chicago,Summer
03-01-2024,1003,40.77425,80,1,42.42418,1,452,Chicago,Fall
04-01-2024,1003,41.02492,69,0,40.63481,0,359,Chicago,Winter
05-01-2024,1003,41.37147,13,0,37.35309,0,97,Houston,Spring
06-01-2024,1003,40.88829,47,0,45.31789,0,275,Houston,Winter
07-01-2024,1003,43.57978,43,0,44.70828,1,354,Houston,Spring
08-01-2024,1003,40.10941,58,0,39.76415,0,227,Houston,Fall
09-01-2024,1003,39.87829,64,0,37.22414,0,292,Houston,Spring
10-01-2024,1003,40.86127,78,0,38.70996,1,214,Houston,Fall
01-01-2024,1003,41.40955,80,0,46.14277,0,241,Houston,Spring
02-01-2024,1003,40.9593,30,0,36.94545,1,431,Houston,Spring
03-01-2024,1003,41.23581,56,0,45.45303,0,465,Houston,Fall
04-01-2024,1003,41.76195,91,1,43.43596,0,248,Houston,Winter
05-01-2024,1003,39.95588,32,0,44.23627,1,122,Phoenix,Fall
06-01-2024,1003,41.37782,17,0,42.94794,1,441,Phoenix,Winter
07-01-2024,1003,42.18648,27,1,45.98517,0,265,Phoenix,Fall
08-01-2024,1003,40.94536,88,0,43.85749,0,229,Phoenix,Fall
09-01-2024,1003,41.82889,22,0,46.10682,0,212,Phoenix,Fall
10-01-2024,1003,41.72993,24,0,40.06346,0,407,Phoenix,Spring
11-01-2024,1003,41.7466,72,0,42.01898,1,339,Phoenix,Fall
12-01-2024,1003,40.39312,76,0,39.33447,1,151,Phoenix,Summer
13-01-2024,1003,42.05655,82,1,38.72155,1,489,Phoenix,Winter
14-01-2024,1003,43.01892,72,0,43.95828,0,484,Phoenix,Summer
15-01-2024,1004,46.60569,17,1,42.4157,0,368,New York,Fall
16-01-2024,1004,45.69252,91,0,48.45322,0,229,New York,Summer
17-01-2024,1004,45.95881,95,1,49.28462,0,198,New York,Fall
18-01-2024,1004,46.68673,73,0,50.9022,1,267,New York,Spring
19-01-2024,1004,45.39684,67,0,46.73704,0,183,New York,Fall
20-01-2024,1004,45.69402,14,0,44.76918,1,357,New York,Fall
21-01-2024,1004,46.62742,56,1,41.79282,1,403,New York,Spring
22-01-2024,1004,46.66623,14,0,42.19618,1,211,New York,Spring
23-01-2024,1004,46.99668,22,1,44.04969,0,256,New York,Spring
24-01-2024,1004,44.77619,93,0,45.73422,0,454,New York,Summer
25-01-2024,1004,45.72802,42,0,47.39387,0,267,Los Angeles,Summer
26-01-2024,1004,46.84207,86,0,42.72085,0,353,Los Angeles,Winter
27-01-2024,1004,48.55961,41,0,41.9498,0,209,Los Angeles,Fall
28-01-2024,1004,48.3086,71,1,49.77685,0,370,Los Angeles,Summer
29-01-2024,1004,47.62292,20,0,44.83722,0,341,Los Angeles,Spring
30-01-2024,1004,44.5895,85,1,44.24256,0,404,Los Angeles,Summer
31-01-2024,1004,46.2979,96,0,51.11569,1,188,Los Angeles,Spring
01-02-2024,1004,46.96372,82,0,46.83872,1,395,Los Angeles,Spring
02-02-2024,1004,46.60327,11,0,42.38402,0,59,Los Angeles,Spring
03-02-2024,1004,46.18628,36,0,47.67394,0,378,Los Angeles,Fall
01-08-2024,1004,48.29476,84,0,41.73936,0,378,Chicago,Fall
02-08-2024,1004,46.35971,54,0,44.24293,0,112,Chicago,Winter
03-08-2024,1004,45.93528,43,0,42.96395,0,478,Chicago,Winter
04-08-2024,1004,48.17222,52,1,51.33121,0,453,Chicago,Fall
05-08-2024,1004,48.02516,38,0,44.41671,0,399,Chicago,Winter
06-08-2024,1004,46.82225,39,0,43.4223,0,91,Chicago,Summer
01-09-2024,1004,46.54656,95,0,49.67694,0,153,Chicago,Spring
02-09-2024,1004,48.16366,96,1,49.60591,0,283,Chicago,Summer
03-09-2024,1004,46.86614,83,1,47.04528,1,67,Chicago,Summer
04-09-2024,1004,46.36577,82,1,42.00384,0,382,Chicago,Spring
05-09-2024,1004,46.17265,16,1,41.84466,0,349,Houston,Spring
06-09-2024,1004,47.99428,97,0,43.17391,1,428,Houston,Fall
01-12-2024,1004,47.39074,72,0,44.45963,1,475,Houston,Spring
02-12-2024,1004,48.54214,89,1,42.48475,0,53,Houston,Fall
03-12-2024,1004,48.03634,32,0,44.73448,0,460,Houston,Summer
04-12-2024,1004,48.45331,58,0,46.43534,0,380,Houston,Summer
05-12-2024,1004,47.50596,55,0,47.20317,1,140,Houston,Winter
06-12-2024,1004,48.50257,36,0,44.32499,0,466,Houston,Fall
01-08-2024,1004,46.1207,19,1,47.78823,1,283,Houston,Summer
02-08-2024,1004,45.83622,47,0,46.92553,1,167,Houston,Fall
03-08-2024,1004,46.5758,27,0,44.83825,0,443,Phoenix,Summer
04-08-2024,1004,44.68544,67,0,49.16176,0,227,Phoenix,Summer
05-08-2024,1004,47.43488,90,1,43.61205,0,290,Phoenix,Fall
06-08-2024,1004,46.59225,28,0,51.50582,0,85,Phoenix,Fall
07-08-2024,1004,45.82179,39,0,48.67215,1,393,Phoenix,Spring
08-08-2024,1004,46.35025,44,0,49.08817,1,381,Phoenix,Spring
09-08-2024,1004,48.33482,51,1,49.47937,0,331,Phoenix,Winter
10-08-2024,1004,47.72896,19,1,49.20318,0,171,Phoenix,Spring
11-08-2024,1004,45.17102,46,0,44.85071,0,61,Phoenix,Spring
12-08-2024,1004,46.20721,43,0,42.79893,0,366,Phoenix,Spring
13-08-2024,1005,48.49957,21,0,47.24744,1,359,New York,Fall
14-08-2024,1005,48.3655,85,0,49.51448,0,370,New York,Spring
15-08-2024,1005,46.19535,38,0,46.39824,0,409,New York,Spring
16-08-2024,1005,46.74367,90,0,51.07296,0,209,New York,Fall
17-08-2024,1005,46.31301,10,0,45.67451,0,267,New York,Spring
18-08-2024,1005,49.1166,99,0,51.28532,1,315,New York,Fall
19-08-2024,1005,47.59616,76,0,48.23781,0,304,New York,Summer
20-08-2024,1005,47.71509,26,0,51.09494,0,185,New York,Spring
21-08-2024,1005,49.91583,97,0,48.21047,0,177,New York,Summer
22-08-2024,1005,48.17851,37,0,52.45698,0,425,New York,Fall
23-08-2024,1005,48.4686,57,0,47.83168,0,420,Los Angeles,Spring
24-08-2024,1005,47.16855,13,0,45.18992,0,325,Los Angeles,Winter
25-08-2024,1005,49.77468,35,0,50.14236,0,240,Los Angeles,Spring
26-08-2024,1005,47.69049,29,0,43.90136,0,97,Los Angeles,Summer
27-08-2024,1005,46.80691,12,0,45.75501,0,219,Los Angeles,Fall
28-08-2024,1005,46.74528,61,0,44.40281,1,416,Los Angeles,Spring
29-08-2024,1005,49.34029,78,0,44.78045,0,125,Los Angeles,Spring
30-08-2024,1005,48.1761,75,0,43.40889,0,345,Los Angeles,Fall
31-08-2024,1005,48.5444,10,1,50.37842,0,464,Los Angeles,Spring
01-09-2024,1005,49.01602,29,0,50.25865,0,196,Los Angeles,Fall
02-09-2024,1005,49.82587,35,0,51.36894,0,142,Chicago,Fall
03-09-2024,1005,47.65005,76,0,47.52242,0,229,Chicago,Summer
04-09-2024,1005,47.9157,34,0,51.75529,1,204,Chicago,Summer
05-09-2024,1005,49.58782,10,0,50.87819,0,147,Chicago,Spring
06-09-2024,1005,46.79852,33,0,44.30088,0,116,Chicago,Spring
07-09-2024,1005,47.66495,16,0,44.46113,1,381,Chicago,Fall
08-09-2024,1005,46.65736,42,0,51.41909,1,329,Chicago,Winter
09-09-2024,1005,46.21836,15,0,47.26803,0,343,Chicago,Summer
10-09-2024,1005,47.71524,86,0,49.53352,0,400,Chicago,Fall
11-09-2024,1005,46.80584,18,0,48.43318,0,171,Chicago,Spring
12-09-2024,1005,49.32955,86,1,45.10205,0,257,Houston,Winter
13-09-2024,1005,46.67166,88,0,47.97295,0,228,Houston,Winter
01-01-2024,1005,46.91365,98,1,47.00733,0,352,Houston,Summer
02-01-2024,1005,46.06249,93,0,48.25429,1,129,Houston,Fall
03-01-2024,1005,48.48251,92,0,46.79783,0,404,Houston,Spring
04-01-2024,1005,49.33519,26,0,49.79321,0,497,Houston,Spring
05-01-2024,1005,46.86139,58,0,51.31821,0,494,Houston,Fall
01-02-2024,1005,47.75247,93,1,43.07762,0,383,Houston,Spring
02-02-2024,1005,48.36983,70,0,47.0943,1,148,Houston,Fall
03-02-2024,1005,48.94569,21,1,44.70339,1,158,Houston,Fall
04-02-2024,1005,48.11776,28,0,44.21918,1,119,Phoenix,Summer
05-02-2024,1005,47.94679,49,0,49.15687,0,250,Phoenix,Winter
01-01-2024,1005,45.93917,75,0,50.20187,0,100,Phoenix,Winter
02-01-2024,1005,46.91406,67,0,52.62063,0,486,Phoenix,Winter
03-01-2024,1005,46.05841,89,0,51.19155,0,331,Phoenix,Winter
04-01-2024,1005,47.18232,26,0,48.01938,1,73,Phoenix,Spring
05-01-2024,1005,46.60938,70,0,48.28081,0,367,Phoenix,Summer
06-01-2024,1005,49.76249,97,0,46.08765,0,174,Phoenix,Fall
07-01-2024,1005,48.152,12,0,44.665,0,211,Phoenix,Summer
08-01-2024,1005,48.1445,25,0,46.96258,0,170,Phoenix,Summer
09-01-2024,1006,34.77133,21,0,36.47267,0,494,New York,Spring
10-01-2024,1006,35.08529,56,0,30.48539,1,459,New York,Summer
01-01-2024,1006,35.5972,71,1,33.39432,0,123,New York,Spring
02-01-2024,1006,33.58559,66,0,36.16401,1,157,New York,Summer
03-01-2024,1006,34.4177,70,1,35.31416,1,335,New York,Summer
04-01-2024,1006,36.22127,33,1,30.20194,0,353,New York,Spring
05-01-2024,1006,35.31168,99,1,37.12128,0,355,New York,Winter
06-01-2024,1006,32.43514,93,0,37.40851,0,92,New York,Spring
07-01-2024,1006,35.80049,44,0,38.54499,0,58,New York,Winter
08-01-2024,1006,34.26599,47,0,36.5366,0,314,New York,Spring
09-01-2024,1006,32.62177,69,0,33.4264,0,160,Los Angeles,Spring
10-01-2024,1006,33.46686,10,0,36.84995,0,310,Los Angeles,Winter
11-01-2024,1006,33.76399,66,0,33.98878,0,105,Los Angeles,Winter
12-01-2024,1006,35.64375,31,1,31.66422,0,279,Los Angeles,Winter
13-01-2024,1006,36.14969,29,0,33.31887,0,72,Los Angeles,Fall
14-01-2024,1006,33.07764,30,0,33.80319,0,285,Los Angeles,Fall
15-01-2024,1006,34.82767,97,1,35.68754,0,273,Los Angeles,Fall
16-01-2024,1006,33.39785,56,0,33.85848,0,142,Los Angeles,Spring
17-01-2024,1006,36.06115,23,0,31.24475,0,203,Los Angeles,Winter
18-01-2024,1006,33.35005,61,0,30.1992,0,272,Los Angeles,Fall
19-01-2024,1006,34.27793,66,0,35.88329,1,249,Chicago,Summer
20-01-2024,1006,32.61623,93,0,33.40331,1,113,Chicago,Winter
21-01-2024,1006,33.6957,28,1,35.52133,0,398,Chicago,Spring
22-01-2024,1006,35.85878,22,0,35.98628,1,224,Chicago,Winter
23-01-2024,1006,33.73718,53,0,34.02303,0,320,Chicago,Summer
24-01-2024,1006,35.47665,24,0,30.21905,0,348,Chicago,Fall
25-01-2024,1006,32.31285,34,0,35.96489,0,384,Chicago,Summer
26-01-2024,1006,35.8978,75,0,31.57653,0,413,Chicago,Summer
27-01-2024,1006,32.87387,89,0,31.91863,0,184,Chicago,Summer
28-01-2024,1006,32.8221,45,0,33.08389,1,452,Chicago,Spring
29-01-2024,1006,32.29233,42,1,32.28583,0,490,Houston,Winter
30-01-2024,1006,32.6451,49,1,34.95403,1,411,Houston,Winter
31-01-2024,1006,36.17662,61,0,37.10513,1,246,Houston,Winter
01-02-2024,1006,33.24188,84,0,29.5032,0,425,Houston,Winter
02-02-2024,1006,35.19852,98,0,34.28988,1,309,Houston,Fall
03-02-2024,1006,34.92505,81,0,38.70869,0,153,Houston,Summer
01-08-2024,1006,32.94915,99,0,32.15546,0,364,Houston,Winter
02-08-2024,1006,35.311,41,0,37.41718,0,162,Houston,Winter
03-08-2024,1006,35.45539,29,0,31.15554,0,238,Houston,Winter
04-08-2024,1006,33.98184,16,0,35.14073,0,64,Houston,Spring
05-08-2024,1006,34.74544,77,0,34.80867,0,124,Phoenix,Winter
06-08-2024,1006,34.56054,68,0,38.01775,0,495,Phoenix,Fall
01-09-2024,1006,33.90831,54,0,36.94373,0,377,Phoenix,Summer
02-09-2024,1006,34.43943,71,0,33.52776,0,293,Phoenix,Spring
03-09-2024,1006,33.77053,42,1,37.57828,0,244,Phoenix,Spring
04-09-2024,1006,33.51401,45,0,34.80147,0,144,Phoenix,Spring
05-09-2024,1006,33.64535,83,0,32.44802,1,387,Phoenix,Fall
06-09-2024,1006,35.50192,74,0,38.78645,0,440,Phoenix,Fall
01-12-2024,1006,35.09637,38,0,34.86743,1,213,Phoenix,Summer
02-12-2024,1006,33.1098,16,0,38.06888,0,54,Phoenix,Fall
01-01-2024,1007,41.98695,33,0,42.62357,0,495,New York,Spring
02-01-2024,1007,42.23842,44,0,38.19848,0,189,New York,Winter
03-01-2024,1007,39.79521,56,0,45.77771,0,498,New York,Winter
04-01-2024,1007,40.54259,20,1,41.77363,0,239,New York,Summer
05-01-2024,1007,41.6079,99,0,41.93844,0,220,New York,Fall
01-02-2024,1007,40.37309,39,0,42.67046,0,340,New York,Summer
02-02-2024,1007,39.42993,69,0,38.85122,0,287,New York,Fall
03-02-2024,1007,40.12907,48,1,36.7344,0,254,New York,Summer
04-02-2024,1007,43.24737,23,1,44.70093,0,335,New York,Spring
05-02-2024,1007,42.30039,96,0,38.74517,1,160,New York,Fall
01-01-2024,1007,43.01783,55,1,44.14763,1,430,Los Angeles,Summer
02-01-2024,1007,42.52671,37,0,45.60675,0,280,Los Angeles,Summer
03-01-2024,1007,42.17363,14,1,43.1433,1,394,Los Angeles,Spring
04-01-2024,1007,40.22056,11,0,43.2676,1,185,Los Angeles,Winter
05-01-2024,1007,42.15843,49,0,39.37289,0,318,Los Angeles,Summer
06-01-2024,1007,43.0909,65,0,43.38443,1,398,Los Angeles,Winter
07-01-2024,1007,41.94922,19,0,42.6469,0,233,Los Angeles,Spring
08-01-2024,1007,40.69438,43,1,46.11493,1,496,Los Angeles,Summer
09-01-2024,1007,43.08722,58,0,42.35222,1,230,Los Angeles,Summer
10-01-2024,1007,39.79709,54,0,45.23736,0,227,Los Angeles,Winter
01-01-2024,1007,40.84834,25,0,37.01162,0,465,Chicago,Fall
02-01-2024,1007,40.85901,28,0,37.70651,0,137,Chicago,Summer
03-01-2024,1007,41.34707,83,0,45.48151,0,420,Chicago,Fall
04-01-2024,1007,41.82463,51,0,43.42273,0,109,Chicago,Summer
05-01-2024,1007,42.15524,63,0,36.52918,1,283,Chicago,Fall
06-01-2024,1007,42.18988,57,1,42.77947,1,473,Chicago,Winter
07-01-2024,1007,40.88532,95,1,37.12378,0,381,Chicago,Summer
08-01-2024,1007,41.03911,83,0,45.63883,0,472,Chicago,Fall
09-01-2024,1007,42.45659,48,0,43.75495,0,80,Chicago,Winter
10-01-2024,1007,42.10479,23,0,38.50466,0,90,Chicago,Winter
11-01-2024,1007,40.67847,26,0,37.98434,1,99,Houston,Summer
12-01-2024,1007,42.27109,92,0,42.84541,0,178,Houston,Summer
13-01-2024,1007,40.97313,42,1,38.32798,0,353,Houston,Summer
14-01-2024,1007,43.13724,82,0,41.22229,0,88,Houston,Fall
15-01-2024,1007,40.65696,43,0,37.57979,0,495,Houston,Winter
16-01-2024,1007,40.98548,27,0,41.61534,0,443,Houston,Summer
17-01-2024,1007,43.06214,51,0,44.3439,1,209,Houston,Summer
18-01-2024,1007,40.41717,87,0,41.35506,0,221,Houston,Summer
19-01-2024,1007,42.53829,48,1,37.89529,1,385,Houston,Fall
20-01-2024,1007,39.92791,44,0,44.66496,0,65,Houston,Summer
21-01-2024,1007,42.17288,31,0,39.60608,0,62,Phoenix,Fall
22-01-2024,1007,41.29034,65,1,39.27677,0,478,Phoenix,Summer
23-01-2024,1007,43.36041,91,0,37.74153,0,452,Phoenix,Summer
24-01-2024,1007,39.52096,91,0,44.15812,1,319,Phoenix,Fall
25-01-2024,1007,42.1149,41,0,45.75268,0,432,Phoenix,Fall
26-01-2024,1007,43.15738,88,0,43.28254,0,319,Phoenix,Winter
27-01-2024,1007,40.9244,40,0,43.981,0,317,Phoenix,Spring
28-01-2024,1007,40.2511,63,0,37.02878,1,498,Phoenix,Winter
29-01-2024,1007,40.1936,69,0,39.86343,0,212,Phoenix,Winter
30-01-2024,1007,39.80199,58,0,37.5908,0,244,Phoenix,Spring
31-01-2024,1008,9.599557,33,1,9.29443,0,218,New York,Summer
01-02-2024,1008,9.898907,61,0,8.231566,0,245,New York,Winter
02-02-2024,1008,11.34708,14,0,14.42165,0,85,New York,Fall
03-02-2024,1008,11.43669,79,0,7.343915,1,116,New York,Winter
01-08-2024,1008,12.44423,89,0,12.2004,1,133,New York,Winter
02-08-2024,1008,10.27909,93,1,15.31933,0,85,New York,Summer
03-08-2024,1008,10.06843,75,0,6.909204,0,246,New York,Winter
04-08-2024,1008,9.403866,89,0,12.67551,1,451,New York,Summer
05-08-2024,1008,10.88576,80,0,7.665018,1,354,New York,Summer
06-08-2024,1008,8.82787,31,1,12.48263,1,481,New York,Summer
01-09-2024,1008,10.31905,58,0,14.01524,0,205,Los Angeles,Winter
02-09-2024,1008,10.86082,37,0,8.021911,0,330,Los Angeles,Summer
03-09-2024,1008,9.508512,63,0,10.70906,0,157,Los Angeles,Fall
04-09-2024,1008,11.73568,50,0,7.987418,1,298,Los Angeles,Winter
05-09-2024,1008,9.001469,97,0,13.60396,1,499,Los Angeles,Fall
06-09-2024,1008,12.35403,39,1,15.60318,1,152,Los Angeles,Spring
01-12-2024,1008,11.33812,67,0,9.57051,0,108,Los Angeles,Spring
02-12-2024,1008,9.447699,75,0,10.21577,0,273,Los Angeles,Summer
03-12-2024,1008,9.502277,55,0,8.276125,1,173,Los Angeles,Spring
04-12-2024,1008,11.47299,80,1,12.40382,0,405,Los Angeles,Fall
05-12-2024,1008,11.84492,80,0,10.1755,0,469,Chicago,Fall
06-12-2024,1008,12.04134,36,0,5.699119,0,215,Chicago,Fall
01-08-2024,1008,10.5499,53,0,10.07655,1,411,Chicago,Spring
02-08-2024,1008,9.308786,64,1,13.75165,0,387,Chicago,Winter
03-08-2024,1008,12.33492,17,0,7.326866,0,256,Chicago,Spring
04-08-2024,1008,11.35991,12,0,8.921672,1,284,Chicago,Summer
